key,name,current_url,new_listings_url
concretise,Concretise,https://www.concretise.ch/,https://concretise.ch/biens-immobilier/?filters[place][value]=&filters[place][lat]=&filters[place][lng]=&filters[place][type]=google_map&filters[building_type][type]=select&filters[building_type][type]=select&filters[building_type][type]=select&filters[building_type][type]=select&filters[building_type][type]=select&filters[building_type][type]=select&filters[rooms_count][value]=&filters[rooms_count][type]=number&filters[rooms_count][append]=pièces&filters[price][value]=&filters[price][type]=number&filters[price][append]=CHF
nideal,Nideal,https://www.nideal.ch/,
homequest,Homequest,https://homequest.ch/,https://homequest.ch/immobilien/?availabilities[]=active&availabilities[]=reserved&availabilities[]=taken&salestype[]=buy
denaliImmo,Denali Immobilier,https://www.denali-sa.ch/,https://denali-sa.ch/acheter/
tissotImmo,TissoT Immobilier,https://www.tissot-immobilier.ch/,https://www.tissot-immobilier.ch/Ventes-Suisse-Cantons.php
swissPatrimoine,Swiss Patrimoine Immobilier,https://www.swiss-patrimoine-immobilier.ch/,
agenceLeman,Agence Immobilière du Léman,https://www.agence-leman.ch/,
vaudburo,Vaudburo,https://www.vaudburo.ch/,https://www.vaudburo.ch/nos-offres-de-locaux
cardisSothebys,Cardis Sotheby's,https://www.cardis.ch/,https://cardis.ch/#acheter
adsImmoServices,ADS IMMO-SERVICES,https://ads-immo.ch/,
ak2c,AK2C Sàrl,https://realisations.ak2c.ch/,
alephInvest,ALEPH Invest SA,https://www.alephinvest.ch/,
assei,ASSEI Sàrl,https://www.assei.ch/,
agenceImmobiliereDuChateau,Agence immobilière du Château,https://www.immochateau.ch/,
alvazziImmobilier,Alvazzi Immobilier SA,https://www.alvazzi.ch/,
aurlau,Aurlau SA,https://www.aurlau.ch/,
avantaImmobilier,Avanta Immobilier,https://www.avantaimmo.ch/,
bbwGestion,BBW Gestion Sàrl,https://www.bbwgestion.ch/,
berose,BEROSE SA,https://www.berose-sa.ch/,
barguetonImmobilier,Bargueton immobilier,https://bargueton.ch/,
batilogis,Batilogis SA,https://www.batilogis.ch/,https://www.batilogis.ch/blank-3
batimoV,Batimo\'V Sàrl,https://www.batimov.ch/,https://www.batimov.ch/site/list?d=sale
bossiImmobilier,Bossi Immobilier,https://bossi-immo.ch/,
brumont,Brumont SA,https://brumont.ch/,
bureauImmobilierRomand,Bureau Immobilier Romand SA,https://www.bir.immo/,https://bir.immo/fr/acheter
bosigerImmobilier,Bösiger Immobilier,https://www.bosigerimmobilier.ch/,"http://syn.publimmo.ch/fr/580887/result.jsp?t=1&type_1=&type_2=&type_3=&type_4=&type_5=&commune=&communeName=Commune,+localité+ou+code+postal&dist=&prixMin=&prixMax=&surfaceMin=&surfaceMax=&pieceMin=&pieceMax=&Submit=Recherche"
cbTransimmo,CB Transimmo Sàrl,https://www.cbtransimmo.ch/,
cdfImmobilier,CDF immobilier SA,https://cdf-immobilier.ch/,https://cdf-immobilier.ch/categorie/vente/
ceDi,CE & DI Sàrl,https://ce-di.ch/,
cfImmobilierCompagnieFonciereChateauDOex,CF Immobilier Compagnie Foncière SA - Château-d\'Oex,https://cfimmobilier.ch/,https://cfimmobilier.ch/fr/vendre
canobat,Canobat SA,https://canobat.ch/,https://www.canobat.ch/à-vendre
casAme,Cas\'Âme Sàrl,https://casame-immobilier.ch/,
cassiopeeImmobilier,Cassiopee Immobilier SA,https://cassiopee.immo/,https://cassiopee.immo/a-vendre.html
cedream,Cedream SA,https://cedream.ch/,
cervero,Cerveró Sàrl,https://cervero.ch/,
chamberonneImmobilier,Chamberonne Immobilier Sàrl,https://chamberonne.ch/,
cofideco,Cofideco SA,https://cofideco.ch/,
coldwellBankerSwissRiviera,Coldwell Banker Swiss Riviera,https://www.transaxia.ch/en/,https://www.transaxia.ch/en/sale+real-estate.html
confidenceImmobilier,Confidence Immobilier Sàrl,https://confidence-immobilier.ch/,
cooperativeHelvetiqueFonciere,Coopérative Helvétique Foncière,https://www.chf.immo/,
courtacasa,Courtacasa,https://www.courtacasa.ch/,
crazymmo,CrazYmmO Sàrl,https://crazymmo.ch/,
cronosImmo,Cronos Immo,https://www.cronosfinance.ch/en/,
dfImmo,DF Immo,https://df.immo/,
dmcImmobilier,DMC Immobilier,https://dmc-ls.ch/,https://dmc-ls.ch/?section=objets
domusImmo,Domus Immo Sàrl,https://www.domusimmo.ch/,https://www.domusimmo.ch/
dufourImmobilier,Dufour Immobilier,https://www.dufour.immo/,
dunimmo,Dunimmo Sàrl,https://dunimmo.ch/,
durablementImmobilier,Durablement Immobilier SA,https://durablement.immo/,
ecofisc,ECOFISC,https://ecofisc.ch,
estatevalue,EstateValue,https://estatevalue.ch/,
fehlmannImmobilier,Fehlmann Immobilier SA,https://f-immob.ch/,
fidalpAuditConsultancy,Fidalp Audit & Consultancy SA,https://fidalp.ch/,
fiduciairePrismaSolutions,Fiduciaire Prisma Solutions Sàrl,https://www.prismasolutions.ch/,
gerofinanceRegieDuRhoneLocationPrestige,GEROFINANCE - RÉGIE DU RHÔNE | Location PRESTIGE,https://en.gerofinance.ch/,
gestImmo,Gest-Immo,https://gest.immo/,
goumazCie,Goumaz & Cie Sàrl,https://goumaz.swiss/,
groheImmobilier,Grohe Immobilier SA,https://grohedev.ch/,
guedonGerance,Guédon Gérance SA,https://guedon.ch/,
homePlus,Home Plus Sàrl,https://www.homeplus.ch/,https://homeplus.ch/acheter-un-bien/
immoLausanne,IMMO-LAUSANNE SA,https://immo-lausanne.ch/,
immo62,IMMO62 Sàrl,https://immo62.ch/,
immobilierRufenacht,IMMOBILIER RUFENACHT SA,https://immobilierrufenacht.ch/,
imosImmobilierEtConseils,IMOS Immobilier et Conseils,https://imos-immobilier.ch/,
ideeDAilleurs,Idée d\'ailleurs,https://idee-dailleurs.ch/,
immoHuguenin,Immo Huguenin,https://www.immo-huguenin.ch/,
immoJuillerat,Immo-Juillerat Sàrl,https://immobilier-juillerat.ch/,
innoteck,InnoTeck Sàrl,https://innotechsarl.ch/,
krLocations,KR Locations,https://krlocations.ch/,
keyRelocation,Key Relocation Sàrl,https://www.key-relocation.ch/,
key4uProperty,Key4U Property,https://www.key4u-property.ch/,https://www.key4u-property.ch/sale-listings?lang=fr
l3mPartners,L3M Partners SA,https://l3m-partners.ch/,
lscourtage,LSCourtage,https://lscourtage.ch/,https://lscourtage.ch/resultats-de-recherche/?status[]=vente&bedrooms=&min-price=&max-price=
lvtic,LVTiC,https://www.lvtic.ch/,https://www.lvtic.ch/offres-locaux-commerciaux-et-industriels/?vente
lioImmo,Lio Immo,https://www.lio-immo.ch/en,
logistimmo,Logistimmo SA,https://logistimmo.ch/,
louisePicadus,Louise & Picadus Sàrl,https://louise-picadus.ch/,
mBGeranceImmobiliere,M&B Gérance Immobilière SA,https://www.mbsa.ch/,
mediapixelImmobilier,MEDIAPIXEL IMMOBILIER SA,https://mediapixelimmo.ch/,https://mediapixelimmo.ch/envie-dacheter/
mgmFiduciaire,MGM Fiduciaire SA,https://mgm.ch/,
misaImmobilier,MISA Immobilier SA,https://www.misa-gerance.ch/,https://www.misa-gerance.ch/rental-listings/?category_id=&type=2&price=&bedrooms=&bathrooms=&living_area=&land_area=
mmsHolding,MMS Holding SA,https://militarymegastore.ch/,
mmsPro,MMS Pro SA,https://mmspro.ch/#acheter-logement,https://mmspro.ch/#acheter-logement
mnmImmobilier,MNM Immobilier Sàrl,https://www.mnm-immobilier.ch/,
martinelliImmobilier,Martinelli – Immobilier,https://martinelli-immobilier.ch/,https://www.martinelli-immobilier.ch/a-vendre
metafin,Metafin SA,https://metafin.ch/,
morelImmo,Morel Immo,https://morel-immo.ch/fr,https://morel-immo.ch/fr/maisons-villas
novaco,NOVACO SA,https://novaco.ch/,
naefCommercialKnightFrankVaud,Naef Commercial | Knight Frank - Vaud,https://www.naef-commercial.ch/en,https://www.naef-commercial.ch/en/buy?
nestImmobilier,Nest Immobilier SA,https://ne-st.ch/,
norwood,Norwood SA,https://www.norwood.ch/,
noveoImmobilier,Novéo Immobilier SA,https://noveo-immobilier.ch/,
odeux,ODEUX SA,https://www.odeux.ch/,
ofD,OF-D Sàrl,https://www.of-d.ch/,
ortegaImmobilier,Ortega Immobilier,https://www.ha.immo/,
