key,name,current_url,new_listings_url
pulsarOpportunity,Pulsar Opportunity SA,https://pulsaropportunity.ch/,
qiLiving,QI LIVING,https://qiliving.ch/,
rpvYannCapt,RPV - Yann Capt,https://r-p-v.ch/,
rsServim,RS Servim Sàrl,https://servim.ch/,
raizedRealEstate,Raized Real Estate SA,https://raized.ch/,
realberg,Realberg,https://www.realberg.ch/,
realizeImmo,Realize Immo,https://letsfeelgood.ch/,
rockwellProperties,Rockwell Properties SA,https://rockwell.ch/en/,
regieBally,Régie Bally SA,https://regiebally.ch/,
regieBraun,Régie Braun SA,https://www.regiebraun.ch/,
regieChamotCie,Régie CHAMOT & Cie SA,https://www.regiechamot.ch/en/,
regieImmosphere,Régie IMMOSPHERE SA,https://regie-immosphere.ch/,
regieMarmillod,Régie Marmillod SA,https://regiemarmillod.ch/,
regieRomande,Régie Romande SA,https://www.regieromande.ch/,
regieTurrian,Régie Turrian SA,https://turrian.ch/,
regieDeLaCouronne,Régie de la Couronne SA,https://gerofinance-dunand.ch/,
regieDuCroset,Régie du Croset SA,https://regieducroset.ch/,
regieDuRhoneLausanne,Régie du Rhône SA - Lausanne,https://regierhone.ch/,
scSotornikClerboutImmobilier,SC Sotornik & Clerbout Immobilier SA,https://www.scimmo.ch/,
slImmobilier,SL Immobilier Sàrl,https://slimmobilier.ch/,
stImmobilier,ST Immobilier SA,https://stimmobilier.ch/,
saintHubertImmobilier,Saint-Hubert Immobilier Sàrl,https://www.st-hubert-immobilier.ch/,
sauvinSchmidt,Sauvin Schmidt SA,https://sauvin-schmidt.ch/,
seci,Seci SA,https://seci.ch/,
servitisImmobilier,Servitis Immobilier,https://www.servitis.ch/,
sogimmo,Sogimmo SA,https://sogimmo.ch/,
solutionImmo,Solution Immo,https://risag.ch/,
sother,Sother,https://sother.ch/,
swissKeysManagement,Swiss Keys Management SA,https://www.swisskeysmanagement.com/,
swissOptimum,Swiss Optimum,https://www.optimum.swiss/en,
swissgradeConsulting,SwissGrade Consulting Sàrl,https://swissgrade.ch/,
swissnestImmobilier,Swissnest Immobilier SA,https://www.swissnest.ch/fr,
switzerlandSothebysEchallens,Switzerland Sothebys - Echallens,https://www.switzerland-sothebysrealty.ch/en,
thalesImmopartners,Thales ImmoPartners SA,https://www.thalesimmo.ch/,
verrazzano,Verrazzano SA,https://verrazzano.ch/#portfolio,
vezGroupe,Vez Groupe,https://vez-groupe.ch/,
vimovaEchallens,Vimova - Echallens,https://vimova.ch/,
viwaImmo,Viwa.Immo SA,https://viwaimmo.ch/,
wilsonImmobilier,Wilson Immobilier SA,https://www.wilsonsa.ch/,
zimmermannImmobilierLausanne,Zimmermann Immobilier - Lausanne,https://www.regiez.ch/,
a2immoCh,a2immo.ch SA,https://a2immo.ch/,
deRham,de Rham SA,https://derham.ch/,
deRhamGerance,de Rham SA - Gérance,https://www.derham.ch/fr,
integraleImmobilierConseils,integrale immobilier conseils,https://iiconseils.ch/,
moveIm,move im SA,https://moveim.ch/,
spgPartner,spg partner sa,https://spgpartner.ch/en/,
swisservicesEtRenovation,swisservices et rénovation sàrl,https://swiss-soudures.ch/,
